"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Available","Backorder","Unit Price","Extended Price CAD"
"1","2","670-1528-1-ND","ST1W008S4ER1500","CONN MICRO SD CARD R/A SMD","J2","2","0","2.72000","5.44"
"2","2","SER4070CT-ND","TSX-3225 16.0000MF18X-AC0","CRYSTAL 16.0000MHZ 9PF SMD","Y1","2","0","0.57000","1.14"
"3","2","XC2160CT-ND","ECS-.327-9-34QCS-TR","CRYSTAL 32.7680KHZ 9PF SMD","Y2","2","0","1.37000","2.74"
"4","2","497-STM32H523RET6-ND","STM32H523RET6","IC MCU 32BIT 512KB FLASH 64LQFP","U1","2","0","7.17000","14.34"
"5","3","AZ1117CH-3.3TRG1DICT-ND","AZ1117CH-3.3TRG1","IC REG LINEAR 3.3V 1A SOT-223-3","VR1","3","0","0.25000","0.75"
"6","2","2073-USB4105-GF-ACT-ND","USB4105-GF-A","CONN RCP USB2.0 TYP C 16P SMD RA","J3","2","0","1.13000","2.26"
"7","2","401-1999-1-ND","JS102011SAQN","SWITCH SLIDE SPDT 300MA 6V","SW1","2","0","1.10000","2.20"
"8","2","490-PKMCS0909E48H0-R1CT-ND","PKMCS0909E48H0-R1","BUZZER PIEZO 2.5V 9X9MM W SMD","BZ1","2","0","1.63000","3.26"
"9","2","IRLML0030TRPBFCT-ND","IRLML0030TRPBF","MOSFET N-CH 30V 5.3A SOT23","Q1","2","0","0.72000","1.44"
"10","10","1655-DSS14UCT-ND","DSS14U","DIODE SCHOTTKY 40V 1A SOD123FL","D1, D2, D6","10","0","0.17100","1.71"
"11","2","160-1179-1-ND","LTST-C170GKT","LED GREEN CLEAR SMD","D4","2","0","0.15000","0.30"
"12","2","160-1413-1-ND","LTST-C170KFKT","LED ORANGE CLEAR SMD","D3","2","0","0.20000","0.40"
"13","2","296-TCAN3414DRCT-ND","TCAN3414DR","IC TRANSCEIVER HALF 1/1 8SOIC","U5","2","0","2.40000","4.80"
"14","2","ADXL375BCCZ-RL7CT-ND","ADXL375BCCZ-RL7","ACCELEROMETER 200G I2C/SPI 14LGA","U2","2","0","19.13000","38.26"
"15","2","497-LSM6DSO32CT-ND","LSM6DSO32TR","INEMO INERTIAL MODULE: 3D ACCELE","U3","2","0","5.40000","10.80"
"16","2","497-16265-1-ND","LPS22HBTR","SENSOR 18.27PSIA 24BIT 10HLGA","U4","2","0","3.78000","7.56"
"17","4","18-SMF54CACT-ND","SMF54CA","TVS DIODE 54VWM 87.1VC SOD123F","D7, D8","4","0","0.58000","2.32"
"18","3","2449-CS1213AGF260CT-ND","CS1213AGF260","SWITCH TACTILE SPST-NO 0.05A 50V","Sw2","3","0","0.60000","1.80"
"19","4","1276-1244-1-ND","CL21A475KAQNNNE","CAP CER 4.7UF 25V X5R 0805","C1","4","0","0.14000","0.56"
"20","3","1276-CL21A226MAYNNNECT-ND","CL21A226MAYNNNE","CAP CER 22UF 25V X5R 0805","C8","3","0","0.12000","0.36"
"21","3","1276-2872-1-ND","CL21B106KOQNNNE","CAP CER 10UF 16V X7R 0805","C9","3","0","0.12000","0.36"
"22","40","1276-1043-1-ND","CL05A104KA5NNNC","CAP CER 0.1UF 25V X5R 0402","C2-7, C10, C17-24","40","0","0.00300","0.12"
"23","10","490-10012-1-ND","GRM155C80J225KE95D","CAP CER 2.2UF 6.3V X6S 0402","C13, C14","10","0","0.07800","0.78"
"24","10","490-5926-1-ND","GRM1555C1H160JA01D","CAP CER 16PF 50V C0G/NP0 0402","C15, C16","10","0","0.06400","0.64"
"25","10","1276-CL05C080DB51PNCCT-ND","CL05C080DB51PNC","CAP CER 8PF 50V C0G/NP0 0402","C11, C12","10","0","0.04300","0.43"
"26","10","478-KGM05AR71E472KHCT-ND","KGM05AR71E472KH","CAP CER 4700PF 25V X7R 0402","C25","10","0","0.03500","0.35"
"27","10","P100KLCT-ND","ERJ-2RKF1003X","RES 100K OHM 1% 1/10W 0402","R10","10","0","0.04300","0.43"
"28","10","RMCF0402FT10K0CT-ND","RMCF0402FT10K0","RES 10K OHM 1% 1/16W 0402","R6","10","0","0.01100","0.11"
"29","10","P100LCT-ND","ERJ-2RKF1000X","RES SMD 100 OHM 1% 1/10W 0402","R9","10","0","0.04300","0.43"
"30","10","P240LCT-ND","ERJ-2RKF2400X","RES SMD 240 OHM 1% 1/10W 0402","R5, R7, R8","10","0","0.04300","0.43"
"31","6","P5.1KDCCT-ND","ERA-2AEB512X","RES SMD 5.1K OHM 0.1% 1/16W 0402","R1, R2","6","0","0.15000","0.90"
"32","10","YAG3086CT-ND","RC0402FR-0727RL","RES 27 OHM 1% 1/16W 0402","R3, R4","10","0","0.01100","0.11"
"33","10","RMCF0402FT1K80CT-ND","RMCF0402FT1K80","RES 1.8K OHM 1% 1/16W 0402","R11, R12","10","0","0.00800","0.08"
"34","10","455-S2B-XH-A-ND","S2B-XH-A","CONN HEADER R/A 2POS 2.5MM","J1, J4, J6, J8","10","0","0.14800","1.48"
"35","3","455-S3B-XH-A-ND","S3B-XH-A","CONN HEADER R/A 3POS 2.5MM","J7","3","0","0.22000","0.66"
"36","2","160-1427-1-ND","LTST-C171KRKT","LED RED CLEAR SMD","D5","2","0","0.20000","0.40"
"37","10","P59.0LCT-ND","ERJ-2RKF59R0X","RES SMD 59 OHM 1% 1/10W 0402","R14, R13","10","0","0.04300","0.43"
"38","2","296-28778-1-ND","TLV1117LV33DCYR","IC REG LINEAR 3.3V 1A SOT-223-4","","2","0","0.38656","0.78"
"39","10","1276-1029-1-ND","CL21B105KBFNNNE","CAP CER 1UF 50V X7R 0805","","10","0","0.01859","0.19"
"40","2","SAM8996-ND","TSW-104-07-F-D","CONN HEADER VERT 8POS 2.54MM","DEBUG","2","0","0.62185","1.24"

